"Story","Title","Result","Date","Stability","Duration (s)"
"First student test","This is a failing test","FAILURE","2019-01-07T18:55:36.331+05:30[Asia/Calcutta]","0.0","19.98"
"First student test","This is error test","ERROR","2019-01-07T18:56:14.948+05:30[Asia/Calcutta]","0.0","3.65"
"Create student data driven","Data driven test for adding multiple students to the student app","FAILURE","2019-01-07T18:56:44.171+05:30[Asia/Calcutta]","0.0","25.12"
"Serenity ID info","This is a failing test","FAILURE","2019-01-07T18:56:58.292+05:30[Asia/Calcutta]","0.0","15.2"
"Students crud test","This test will create a new student","FAILURE","2019-01-07T18:57:01.168+05:30[Asia/Calcutta]","0.0","18.8"
"Serenity ID info","This test will fetch all student details","FAILURE","2019-01-07T18:57:21.84+05:30[Asia/Calcutta]","0.0","2.93"
"Students crud test","This test will verify the addition of new student","ERROR","2019-01-07T18:57:23.068+05:30[Asia/Calcutta]","0.0","4.83"
"Students crud test","This test will update the newly added student","FAILURE","2019-01-07T18:57:28.184+05:30[Asia/Calcutta]","0.0","2.73"
"Serenity ID info","Get all students","FAILURE","2019-01-07T18:57:29.893+05:30[Asia/Calcutta]","0.0","2.47"
"Serenity ID info","This is error test","ERROR","2019-01-07T18:57:32.377+05:30[Asia/Calcutta]","0.0","4.31"
"Tags test","This test will provide an error code of 400 when user tries to access an invalid resource","FAILURE","2019-01-07T18:57:50.237+05:30[Asia/Calcutta]","0.0","10.44"
"Tags test","Provide a 405 status code when incorrect HTTP method is used to access a resource","FAILURE","2019-01-07T18:58:03.258+05:30[Asia/Calcutta]","0.0","2.81"
"Tags test","This test will verify if a status code of 200 is returned for GET request","FAILURE","2019-01-07T18:58:06.064+05:30[Asia/Calcutta]","0.0","1.9"
