"Story","Title","Result","Date","Stability","Duration (s)"
"First student test","This is compromised test","COMPROMISED","2019-01-07T18:55:18.622+05:30[Asia/Calcutta]","0.0","12.55"
"First student test","This is a failing test","FAILURE","2019-01-07T18:55:36.331+05:30[Asia/Calcutta]","0.0","19.98"
"First student test","This is manual test","PENDING","2019-01-07T18:55:56.333+05:30[Asia/Calcutta]","0.0","4.09"
"First student test","This is ignored test","IGNORED","2019-01-07T18:56:00.421+05:30[Asia/Calcutta]","0.0","6.16"
"First student test","This is a pending test","PENDING","2019-01-07T18:56:06.588+05:30[Asia/Calcutta]","0.0","3.38"
"First student test","Get all students","SUCCESS","2019-01-07T18:56:09.965+05:30[Asia/Calcutta]","0.0","4.97"
"First student test","This is error test","ERROR","2019-01-07T18:56:14.948+05:30[Asia/Calcutta]","0.0","3.65"
"Create student data driven","Data driven test for adding multiple students to the student app","FAILURE","2019-01-07T18:56:44.171+05:30[Asia/Calcutta]","0.0","25.12"
"Serenity ID info","This is compromised test","COMPROMISED","2019-01-07T18:56:48.224+05:30[Asia/Calcutta]","0.0","6.83"
"Serenity ID info","This is a failing test","FAILURE","2019-01-07T18:56:58.292+05:30[Asia/Calcutta]","0.0","15.2"
"Students crud test","This test will create a new student","FAILURE","2019-01-07T18:57:01.168+05:30[Asia/Calcutta]","0.0","18.8"
"Serenity ID info","This is manual test","PENDING","2019-01-07T18:57:13.502+05:30[Asia/Calcutta]","0.0","3.84"
"Serenity ID info","This is ignored test","IGNORED","2019-01-07T18:57:17.344+05:30[Asia/Calcutta]","0.0","4.5"
"Serenity ID info","This test will fetch all student details","FAILURE","2019-01-07T18:57:21.84+05:30[Asia/Calcutta]","0.0","2.93"
"Students crud test","This test will verify the addition of new student","ERROR","2019-01-07T18:57:23.068+05:30[Asia/Calcutta]","0.0","4.83"
"Serenity ID info","This is a pending test","PENDING","2019-01-07T18:57:24.781+05:30[Asia/Calcutta]","0.0","5.11"
"Students crud test","This test will update the newly added student","FAILURE","2019-01-07T18:57:28.184+05:30[Asia/Calcutta]","0.0","2.73"
"Serenity ID info","Get all students","FAILURE","2019-01-07T18:57:29.893+05:30[Asia/Calcutta]","0.0","2.47"
"Students crud test","This test will delete the newly added student","SUCCESS","2019-01-07T18:57:30.935+05:30[Asia/Calcutta]","0.0","3.67"
"Serenity ID info","This is error test","ERROR","2019-01-07T18:57:32.377+05:30[Asia/Calcutta]","0.0","4.31"
"Tags test","This test will provide an error code of 400 when user tries to access an invalid resource","FAILURE","2019-01-07T18:57:50.237+05:30[Asia/Calcutta]","0.0","10.44"
"Tags test","Provide a 405 status code when incorrect HTTP method is used to access a resource","FAILURE","2019-01-07T18:58:03.258+05:30[Asia/Calcutta]","0.0","2.81"
"Tags test","This test will verify if a status code of 200 is returned for GET request","FAILURE","2019-01-07T18:58:06.064+05:30[Asia/Calcutta]","0.0","1.9"
